symbol,NGF3-1-1,NGF3-1-2,NGF3-1-3,NGF3-2-1,NGF3-2-2,NGF3-2-3,NGF3-3-1,NGF3-3-2,NGF3-3-3,NGF3-7-1,NGF3-7-2,NGF3-7-3,NGF3-7-4,NGF3-7-5,NGF3-7-6,NGF3-7-7,NGF3-7-8,NGF3-C-1,NGF3-C-2,NGF3-C-3,NGF3-1-4,NGF3-1-5,NGF3-1-6,NGF3-2-4,NGF3-2-5,NGF3-2-6,NGF3-3-4,NGF3-3-5,NGF3-3-6,NGF3-7-10,NGF3-7-11,NGF3-7-12,NGF3-7-13,NGF3-7-14,NGF3-7-15,NGF3-7-16,NGF3-7-9,NGF3-C-4,NGF3-C-5,NGF3-C-6
Dguok,0,1,0,0,0,1,0,0,0,0,0,0,53,0,0,1,0,0,0,0,1,1,0,0,0,1,2,0,1,4,1,23,0,0,1,0,1,2,0,2
Dhcr7,2,0,0,0,0,0,30,0,0,26,0,0,2,11,0,17,9,0,1,0,1,0,0,3,0,1,59,24,0,7,0,0,0,0,1,0,1,0,0,3
Dhcr24,0,0,0,0,0,0,0,0,0,0,152,774,1,553,0,2,678,3,0,0,21,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,48,0,0,0
Dhdds,19,0,0,0,88,28,13,0,11,27,19,18,87,10,16,58,0,25,15,3,26,689,2,189,0,1,0,2,77,22,14,1,2,12,13,18,2,41,2,8
Dhfr,33,19,61,0,176,0,58,1,0,281,151,13,405,300,0,9,18,24,2390,0,4,0,440,57,0,0,3,298,59,310,2,505,6,0,130,15,0,0,0,2433
Dhh,0,0,0,6,0,0,5,3,3,124,1,38,0,53,0,321,3,6,0,0,592,0,0,0,0,0,3,8,1,0,0,1,0,0,3,0,1,0,2,1
Dhodh,65,1,56,0,0,0,0,0,0,67,279,0,157,73,16,323,52,1,0,5,1,12,0,0,0,0,757,289,0,1,166,2,1,136,18,0,21,0,0,40
Dhps,28,8,0,0,426,0,4,7,531,8,427,21,695,492,6,14,1699,1,877,1,2,1,0,44,2068,7,3,11,574,2,175,1,0,2,11,743,202,0,0,0
Dhrs1,21,0,0,1,34,94,47,175,25,122,80,91,312,375,3,77,54,175,0,0,49,1,0,109,0,0,560,3,16,16,35,1,16,1,4,34,31,1,1,5
Dhrs3,1,1,0,0,0,0,1,0,0,7,0,0,0,0,1,1,1,1,3,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
Dhrs4,1154,1,0,0,0,44,4,0,34,37,533,179,24,58,55,589,1840,3,718,226,0,0,114,38,1,1,209,324,13,35,614,222,30,2,124,0,0,10,0,56
Dhrs7b,42,0,7,19,21,0,5,574,1,580,326,124,52,404,3,117,4,0,0,77,45,13,0,1059,0,1,2,7,39,22,20,77,23,84,533,29,9,1,11,130
Dhrs7c,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dhrs7,6,0,0,2,307,0,0,0,1,190,11,49,1,34,0,0,11,0,53,0,0,0,0,1,0,0,19,1,0,2,21,0,678,0,0,0,0,0,0,0
Dhrs9,0,0,0,0,0,1,1,0,0,0,0,0,0,70,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhrs11,0,0,0,0,0,0,0,1,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,2,0,1,0,0,1,0,0,0,1,0
Dhrsx,2,0,0,0,0,0,3,0,0,1,0,282,0,1,0,0,627,365,0,0,0,0,0,133,0,330,20,0,1,332,117,0,1,0,0,74,0,3,0,0
Dhtkd1,0,0,0,0,0,0,0,0,0,1,42,494,9,0,0,24,0,6,1,0,1,0,4,21,1,1,0,1,0,0,2,1,265,0,7,0,0,2,0,54
Dhx8,1,0,0,1,0,0,0,0,0,1,0,0,60,218,2,7,1,2,10,0,1,0,1,1,0,1,0,0,0,1,10,1,9,0,0,0,0,0,0,2
Dhx9,4157,1197,1,0,151,65,1102,4,572,1301,401,2818,2244,1730,555,745,1498,1755,238,11,36,19,541,600,4,3,149,208,608,1030,1176,47,81,13,534,156,117,5,0,385
Dhx15,6820,2138,2500,4506,930,51,4320,25728,3267,2388,2948,4414,2516,3126,834,4107,5845,1216,553,1519,886,4062,371,1416,336,312,709,959,1133,4597,3036,1838,787,588,2500,2478,256,1250,876,629
Dhx16,11,3,1,1,1,0,806,2,13,25,20,1,50,4,10,10,2,0,0,4,2,1,1,3,1,0,2,1,16,7,18,37,0,4,9,0,22,1,2,0
Dhx30,11,3,4,10,0,31,0,0,8,188,6,3,920,2,71,195,2,0,12,2,10,4,3,0,0,6,13,1,2,68,5,1,80,247,178,2,2,0,0,2
Dhx32,13,0,5781,16,11,1,127,558,341,953,22,613,366,19,72,72,10,177,8,36,11,10,18,0,2,0,52,332,4,35,2,55,353,1,13,3,31,56,11,6
Dhx33,1,2,4,5,0,3,1,1,2,80,0,7,2,0,0,1,4,2,1,2,2,7,6,0,1,4,3,2,7,0,7,5,0,1,0,9,10,5,1,1
Dhx34,0,5,0,0,0,0,1,0,0,4,1,0,0,0,2,0,1,1,0,0,0,3,4,0,0,2,3,0,2,0,0,0,0,1,170,1,0,0,0,1
Dhx35,0,0,0,74,0,0,0,0,0,4,2,0,168,0,40,0,2,0,0,3,0,1,0,0,1,0,0,6,0,0,1,0,120,0,1,1,0,0,0,0
Dhx36,2392,2,1397,8,0,54,1381,522,401,300,301,2701,374,442,130,1049,183,55,358,1,159,1,18,2516,472,2756,3553,5339,4843,2933,1781,133,1178,21,478,127,5,91,1486,4064
