symbol,NGF-1-1,NGF-1-2,NGF-1-3,NGF-1-4,NGF-2-1,NGF-2-2,NGF-2-3,NGF-2-4,NGF-3-1,NGF-3-2,NGF-3-3,NGF-3-4,NGF-C-1,NGF-C-2,NGF-C-3,NGF-1-5,NGF-1-6,NGF-1-7,NGF-2-5,NGF-2-6,NGF-2-7,NGF-3-5,NGF-3-6,NGF-3-7,NGF-7-1,NGF-7-2,NGF-7-3,NGF-C-4,NGF-C-5,NGF-C-6,NGF-1-10,NGF-1-8,NGF-1-9,NGF-2-10,NGF-2-8,NGF-2-9,NGF-3-10,NGF-3-8,NGF-3-9,NGF-7-4,NGF-7-5,NGF-7-6,NGF-C-7,NGF-C-8,NGF-C-9,NGF-1-11,NGF-1-12,NGF-1-13,NGF-1-14,NGF-1-15,NGF-2-11,NGF-2-12,NGF-2-13,NGF-2-14,NGF-2-15,NGF-3-11,NGF-3-12,NGF-3-13,NGF-3-14,NGF-3-15,NGF-C-10,NGF-C-11,NGF-C-12,NGF-C-13,NGF-C-14,NGF-C-15
C1ql4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
C1qtnf1,2,0,2,0,342,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,15,80,0,0,0,0,0,0,0,0,0,1,0,1,0,41,0,0,1,417,2,0,1,3,1,1,1,3,1,23,2,1,0,2,1,1,0,4,2,0
C1qtnf2,0,4,0,3,5,189,90,60,7,10,97,9,1,554,49,27,1,0,0,663,0,19,15,54,29,1,1,0,30,0,1,46,1505,0,12,1,10,36,0,0,0,0,840,362,231,2,32,0,12,1,879,36,744,71,0,69,14,0,34,10,429,1,0,24,916,45
C1qtnf3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,278,0,0,0,0,0
C1qtnf4,0,0,0,4,37,58,0,2,0,0,0,0,0,2,1,2,0,0,0,1,0,0,7,0,0,1,0,2,0,0,0,37,0,0,288,7,1,0,0,0,0,0,11,2,3,2,0,0,1,129,35,0,0,0,1,0,59,1,0,1,0,8,0,1,0,1
C1qtnf5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0
C1qtnf6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
C1qtnf7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1qtnf9,0,0,0,0,820,21,47,0,0,2,1,0,0,0,35,150,0,0,19,0,0,4,0,0,62,2,12,0,0,116,0,0,0,0,14,3,2269,0,0,1,0,2,1182,507,10,556,0,0,0,2,0,0,321,1,0,5,1,0,3,0,25,0,0,0,0,21
C1rl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
